player_id,games_played,goals,assists,points,game_win_goals,ot_goals,shots,shooting_pctg,pim,plus_minus,pp_goals,pp_points,sh_goals,sh_points
8478851,79,3,22,25,0,0,82,0.036585,40,-10,0,0,0,1
8478975,62,22,25,47,4,0,134,0.164179,53,15,5,10,0,0
8479351,79,6,19,25,1,0,89,0.067416,31,-6,0,0,1,3
8479371,68,9,17,26,3,0,89,0.101124,40,20,0,0,0,0
8480027,82,35,45,80,6,1,211,0.165877,18,10,9,19,0,0
8480036,50,5,20,25,0,0,108,0.046296,10,7,0,7,0,0
8480840,73,4,12,16,0,0,44,0.090909,8,1,0,0,0,1
8480878,39,0,5,5,0,0,52,0.0,20,4,0,0,0,0
8480950,80,1,13,14,0,0,51,0.019608,32,5,0,0,0,0
8481577,61,11,13,24,6,0,104,0.105769,8,-10,3,8,0,0
8481581,78,16,34,50,3,2,171,0.093567,16,32,1,15,0,0
8482062,71,4,8,12,0,0,69,0.057971,69,-15,0,0,0,1
8482146,68,10,22,32,1,0,134,0.074627,22,-2,1,5,0,0
8482702,78,14,24,38,5,0,194,0.072165,18,-1,2,8,0,0
8482740,82,33,38,71,4,1,202,0.163366,14,2,11,25,3,3
8471677,41,0,6,6,0,0,23,0.0,2,-13,0,0,0,0
8474037,71,16,20,36,2,0,85,0.188235,23,-4,1,2,0,0
8474567,81,4,12,16,0,0,79,0.050633,43,-6,0,0,0,0
8474716,66,7,25,32,3,1,107,0.065421,14,8,1,9,0,0
8475149,72,11,23,34,1,0,121,0.090909,12,-7,1,6,1,1
8475220,77,14,15,29,1,0,91,0.153846,75,7,0,0,0,0
8475692,69,19,35,54,6,1,151,0.125828,22,0,3,16,0,0
8475750,70,2,4,6,0,0,47,0.042553,20,-8,0,0,0,0
8475790,16,0,4,4,0,0,12,0.0,6,1,0,0,0,0
8476374,82,6,11,17,0,0,88,0.068182,40,-4,0,0,0,0
8476463,50,4,16,20,1,0,71,0.056338,18,10,0,0,0,1
8476923,70,6,19,25,1,0,91,0.065934,47,5,0,0,0,0
8477451,69,11,15,26,1,0,158,0.06962,75,-7,3,7,0,0
8477497,54,19,38,57,2,0,128,0.148438,20,19,7,14,0,3
8477919,82,18,19,37,2,0,110,0.163636,8,-2,5,5,0,0
8478099,34,2,10,12,0,0,35,0.057143,12,1,0,0,0,0
8478136,67,8,13,21,0,0,97,0.082474,40,11,0,0,0,0
8478460,81,23,59,82,5,2,298,0.077181,31,12,5,25,1,3
8478493,46,14,15,29,1,0,140,0.1,22,9,5,10,0,0
8478500,82,7,26,33,0,0,100,0.07,31,11,1,3,1,3
8478508,76,7,8,15,2,0,85,0.082353,54,-1,0,0,2,2
8478864,41,25,31,56,5,2,145,0.172414,16,19,4,14,0,0
8479671,82,18,14,32,5,0,111,0.162162,139,-4,0,0,1,2
8479944,79,6,11,17,1,0,101,0.059406,27,-15,0,0,0,0
8480880,56,5,6,11,2,0,42,0.119048,47,-13,0,0,1,1
8480893,79,31,43,74,2,1,207,0.149758,20,29,2,19,0,0
8481161,68,1,7,8,0,0,58,0.017241,11,6,0,0,0,0
8481557,82,27,46,73,10,2,271,0.099631,51,1,6,21,0,0
8482079,82,24,36,60,3,2,136,0.176471,26,3,7,16,0,0
8482122,78,10,19,29,1,1,124,0.080645,23,-2,2,10,0,1
8482177,75,5,7,12,0,0,41,0.121951,20,-11,0,1,0,1
8482451,47,4,3,7,0,0,32,0.125,6,-11,0,0,1,1
8482475,30,7,8,15,1,0,68,0.102941,4,-6,2,5,0,0
8482660,68,24,33,57,4,0,123,0.195122,16,2,4,15,1,3
8482705,66,11,22,33,2,1,129,0.085271,35,-11,2,3,1,2
8484166,82,31,23,54,3,0,191,0.162304,18,4,2,4,1,2
8475726,78,30,24,54,1,0,233,0.128755,14,-21,6,15,0,0
8475798,83,22,44,66,4,1,169,0.130178,28,0,5,19,1,1
8476624,77,5,3,8,0,0,73,0.068493,75,-37,0,0,1,1
8476879,85,4,20,24,2,0,90,0.044444,24,6,0,0,0,1
8476988,7,0,0,0,0,0,7,0.0,4,-5,0,0,0,0
8477505,77,10,25,35,2,2,82,0.121951,14,-21,3,10,0,0
8478013,65,7,33,40,1,0,164,0.042683,42,4,0,8,0,1
8479316,75,11,7,18,0,0,112,0.098214,55,-28,0,0,0,0
8479983,78,5,12,17,1,0,79,0.063291,53,-25,0,0,0,1
8480172,54,3,6,9,0,0,55,0.054545,28,-3,0,0,0,0
8480188,84,19,22,41,0,0,181,0.104972,14,7,5,7,0,0
8480848,68,1,7,8,0,0,50,0.02,59,-31,0,0,0,1
8481477,62,7,7,14,1,0,59,0.118644,20,-6,0,0,1,1
8481567,60,2,10,12,0,0,52,0.038462,30,-23,0,0,0,0
8482101,12,0,1,1,0,0,16,0.0,6,-3,0,0,0,0
8482667,77,17,41,58,2,1,151,0.112583,29,-7,6,16,1,3
