,team_id,team_code,game_num,date,goals,pim,shots,pp_perc,ppg,pp_opp,fo_win,blocked,takeaways,giveaways,hits
138,1,NJD,2022020139,2022-10-30T18:00:00Z,7,6,53,33.3,1.0,3.0,55.4,12,7,2,13
139,16,CHI,2022020140,2022-10-30T23:00:00Z,3,25,26,0.0,0.0,0.0,62.5,14,13,14,28
140,53,ARI,2022020141,2022-10-31T00:00:00Z,2,6,20,100.0,1.0,1.0,45.6,7,3,11,27
141,24,ANA,2022020142,2022-10-31T00:00:00Z,4,6,39,0.0,0.0,2.0,50.9,9,7,7,18
142,54,VGK,2022020143,2022-10-31T00:00:00Z,2,2,48,0.0,0.0,3.0,58.9,20,11,7,21
143,7,BUF,2022020144,2022-10-31T23:00:00Z,8,4,46,40.0,2.0,5.0,49.2,5,8,2,11
144,12,CAR,2022020145,2022-10-31T23:00:00Z,2,12,35,16.7,1.0,6.0,55.0,7,8,9,21
145,19,STL,2022020146,2022-11-01T00:00:00Z,1,6,28,0.0,0.0,4.0,50.9,9,5,11,33
146,5,PIT,2022020147,2022-11-02T00:00:00Z,5,6,38,0.0,0.0,4.0,44.9,12,14,8,48
147,14,TBL,2022020148,2022-11-01T23:00:00Z,4,13,34,12.5,1.0,8.0,45.1,21,6,8,32
148,3,NYR,2022020149,2022-11-01T23:00:00Z,1,10,36,0.0,0.0,3.0,42.0,14,9,16,27
149,15,WSH,2022020150,2022-11-01T23:00:00Z,2,6,21,50.0,1.0,2.0,58.6,26,9,5,27
150,30,MIN,2022020151,2022-11-02T00:00:00Z,4,21,31,25.0,1.0,4.0,38.0,7,8,11,15
151,16,CHI,2022020152,2022-11-02T00:30:00Z,1,8,22,25.0,1.0,4.0,53.1,17,7,15,25
152,25,DAL,2022020153,2022-11-02T00:30:00Z,5,6,40,75.0,3.0,4.0,52.3,14,4,14,19
153,22,EDM,2022020154,2022-11-02T01:00:00Z,7,9,37,33.3,2.0,6.0,53.7,10,11,16,27
154,20,CGY,2022020155,2022-11-02T01:00:00Z,4,13,40,0.0,0.0,4.0,61.5,15,8,12,24
155,53,ARI,2022020156,2022-11-02T02:00:00Z,3,10,21,50.0,2.0,4.0,43.1,22,7,14,31
156,23,VAN,2022020157,2022-11-02T02:00:00Z,2,27,23,40.0,2.0,5.0,42.3,11,12,5,22
157,28,SJS,2022020158,2022-11-02T02:30:00Z,5,15,44,33.3,1.0,3.0,44.6,17,10,10,16
158,10,TOR,2022020159,2022-11-02T23:00:00Z,5,31,44,40.0,2.0,5.0,46.8,8,12,14,31
159,7,BUF,2022020160,2022-11-02T23:30:00Z,6,8,33,25.0,1.0,4.0,45.8,14,7,7,8
160,3,NYR,2022020161,2022-11-03T23:30:00Z,2,16,20,0.0,0.0,2.0,39.0,16,13,12,39
161,14,TBL,2022020162,2022-11-03T23:00:00Z,3,12,26,40.0,2.0,5.0,38.2,22,19,13,32
162,9,OTT,2022020163,2022-11-03T23:00:00Z,4,8,46,0.0,0.0,3.0,50.0,7,5,8,20
163,17,DET,2022020164,2022-11-03T23:00:00Z,3,10,26,33.3,1.0,3.0,36.4,20,3,9,25
164,52,WPG,2022020165,2022-11-04T00:00:00Z,3,4,36,20.0,1.0,5.0,53.5,6,10,10,35
165,19,STL,2022020166,2022-11-04T00:00:00Z,2,9,34,33.3,1.0,3.0,56.9,8,10,8,25
166,30,MIN,2022020167,2022-11-04T00:00:00Z,0,4,22,0.0,0.0,2.0,48.9,8,4,7,26
167,16,CHI,2022020168,2022-11-04T00:30:00Z,2,9,19,0.0,0.0,1.0,39.6,23,9,13,25
168,20,CGY,2022020169,2022-11-04T01:00:00Z,1,8,30,0.0,0.0,3.0,41.2,13,8,15,41
169,22,EDM,2022020170,2022-11-04T01:00:00Z,3,6,37,50.0,1.0,2.0,56.2,19,17,21,27
170,23,VAN,2022020171,2022-11-04T02:00:00Z,8,11,47,66.7,2.0,3.0,60.3,13,5,12,20
171,53,ARI,2022020172,2022-11-04T02:00:00Z,2,8,30,0.0,0.0,1.0,50.8,17,3,17,37
172,28,SJS,2022020173,2022-11-04T02:30:00Z,3,7,39,50.0,1.0,2.0,42.4,20,15,6,20
173,12,CAR,2022020174,2022-11-04T23:00:00Z,5,12,33,25.0,1.0,4.0,61.2,11,10,13,20
174,21,COL,2022020175,2022-11-04T18:00:00Z,6,14,36,40.0,2.0,5.0,35.8,18,4,1,5
175,52,WPG,2022020176,2022-11-05T19:00:00Z,4,6,37,75.0,3.0,4.0,48.1,10,10,14,24
176,22,EDM,2022020177,2022-11-05T20:00:00Z,2,6,30,16.7,1.0,6.0,50.0,12,11,7,32
177,15,WSH,2022020178,2022-11-05T23:00:00Z,2,6,36,33.3,1.0,3.0,56.1,12,8,10,24
178,10,TOR,2022020179,2022-11-05T23:00:00Z,2,6,28,33.3,1.0,3.0,54.5,15,11,11,21
179,14,TBL,2022020180,2022-11-05T23:00:00Z,5,6,30,50.0,1.0,2.0,49.2,17,15,8,43
180,17,DET,2022020181,2022-11-05T17:00:00Z,3,6,26,20.0,1.0,5.0,39.6,24,6,7,20
181,9,OTT,2022020182,2022-11-05T23:00:00Z,1,6,34,0.0,0.0,5.0,58.6,19,5,9,33
182,5,PIT,2022020183,2022-11-05T23:00:00Z,2,6,37,0.0,0.0,3.0,57.1,8,9,8,34
183,8,MTL,2022020184,2022-11-05T23:00:00Z,4,21,31,100.0,1.0,1.0,43.1,27,11,18,9
184,29,CBJ,2022020185,2022-11-05T18:00:00Z,1,7,32,100.0,1.0,1.0,43.1,20,1,2,13
185,23,VAN,2022020186,2022-11-06T02:00:00Z,3,30,45,25.0,1.0,4.0,50.7,16,4,12,22
186,20,CGY,2022020187,2022-11-06T02:00:00Z,3,14,30,0.0,0.0,2.0,47.8,14,11,15,40
187,28,SJS,2022020188,2022-11-06T02:30:00Z,4,9,52,20.0,1.0,5.0,55.7,10,14,10,25
188,26,LAK,2022020189,2022-11-06T02:30:00Z,5,4,39,16.7,1.0,6.0,52.2,17,2,7,25
189,3,NYR,2022020190,2022-11-06T22:00:00Z,2,8,29,50.0,1.0,2.0,47.5,15,5,7,31
190,12,CAR,2022020191,2022-11-06T22:00:00Z,1,2,30,50.0,1.0,2.0,50.0,9,13,10,25
191,24,ANA,2022020192,2022-11-07T02:00:00Z,3,12,35,0.0,0.0,2.0,40.0,31,4,13,19
192,2,NYI,2022020193,2022-11-08T00:00:00Z,4,0,32,50.0,1.0,2.0,54.2,18,4,18,33
193,6,BOS,2022020194,2022-11-08T00:00:00Z,3,8,37,100.0,2.0,2.0,56.6,12,6,11,21
194,15,WSH,2022020195,2022-11-08T01:00:00Z,5,4,31,80.0,4.0,5.0,52.2,13,6,9,15
