game_num,game_date,team_id,team_code,player_id,player_name,catches,toi,assists,goals,pim,shots,saves,pp_saves,sh_saves,ev_saves,sh_shots,ev_shots,pp_shots,decision,sv_perc,pp_sv_perc,sh_sv_perc,ev_sv_perc,home_away
2022020119,2022-10-28,28,SJS,8478039,Kaapo Kahkonen,L,60:57:00,0,0,0,25,22,2,0,20,0,22,3,W,88,66.66666666666666,,90.90909091,home
2022020120,2022-10-28,26,LAK,8471734,Jonathan Quick,L,59:37:00,0,0,0,18,13,5,0,8,1,11,6,L,72.22222222222221,83.33333333333334,0,72.72727272727273,home
2022020121,2022-10-28,54,VGK,8480313,Logan Thompson,R,60:00:00,0,0,0,29,29,4,2,23,2,23,4,W,100,100,100,100,home
2022020122,2022-10-28,29,CBJ,8480193,Daniil Tarasov,L,20:00,0,0,0,6,6,0,0,6,0,6,0,,100,,,100,home
2022020122,2022-10-28,29,CBJ,8478007,Elvis Merzlikins,L,40:00:00,0,0,0,29,25,6,1,18,2,21,6,L,86.20689655172413,100,50,85.71428571428571,home
2022020123,2022-10-28,1,NJD,8477970,Vitek Vanecek,L,60:00:00,0,0,0,24,24,8,0,16,0,16,8,W,100,100,,100,home
2022020124,2022-10-28,12,CAR,8475883,Frederik Andersen,L,59:48:00,0,0,0,31,26,0,0,26,0,31,0,L,83.87096774193549,,,83.87096774193549,home
2022020125,2022-10-29,23,VAN,8477484,Spencer Martin,L,60:00:00,0,0,0,35,34,6,0,28,0,28,7,W,97.14285714285714,85.71428571428571,,100,home
2022020126,2022-10-29,53,ARI,8478872,Karel Vejmelka,R,60:19:00,0,0,0,35,32,7,0,25,0,28,7,L,91.42857142857144,100,,89.28571428571429,home
2022020127,2022-10-29,25,DAL,8475809,Scott Wedgewood,L,33:37:00,0,0,0,17,13,1,0,12,0,15,2,L,76.47058823529412,50,,80,home
2022020127,2022-10-29,25,DAL,8479979,Jake Oettinger,L,26:23:00,0,0,0,10,8,1,0,7,0,8,2,,80,50,,87.5,home
2022020128,2022-10-29,13,FLA,8481519,Spencer Knight,L,59:53:00,0,0,0,26,23,3,3,17,3,19,4,W,88.46153846153845,75,100,89.47368421052632,home
2022020129,2022-10-29,28,SJS,8473503,James Reimer,L,58:45:00,0,0,0,26,22,3,0,19,0,23,3,L,84.61538461538461,100,,82.60869565,home
2022020130,2022-10-29,4,PHI,8479394,Carter Hart,L,64:06:00,0,0,0,38,34,9,1,24,1,28,9,L,89.47368421052632,100,100,85.71428571428571,home
2022020131,2022-10-29,7,BUF,8467950,Craig Anderson,L,60:29:00,0,0,0,26,23,3,0,20,0,22,4,W,88.46153846153845,75,,90.90909091,home
2022020132,2022-10-29,17,DET,8478024,Ville Husso,L,60:00:00,0,0,0,31,30,2,1,27,1,28,2,W,96.77419355,100,100,96.42857142857144,home
2022020133,2022-10-29,19,STL,8476412,Jordan Binnington,L,58:39:00,0,0,0,24,18,4,0,14,0,18,6,L,75,66.66666666666666,,77.77777777777779,home
2022020134,2022-10-29,26,LAK,8477361,Cal Petersen,R,60:00:00,0,0,0,28,26,4,3,19,3,20,5,W,92.85714285714286,80,100,95,home
2022020135,2022-10-29,2,NYI,8473575,Semyon Varlamov,L,60:00:00,0,0,0,37,33,3,1,29,1,32,4,W,89.18918919,75,100,90.625,home
2022020136,2022-10-30,18,NSH,8477424,Juuse Saros,L,57:32:00,0,0,0,34,32,6,1,25,1,27,6,L,94.11764705882352,100,100,92.59259259,home
2022020137,2022-10-30,20,CGY,8474593,Jacob Markstrom,L,58:40:00,0,0,0,26,23,2,3,18,3,20,3,L,88.46153846153845,66.66666666666666,100,90,home
2022020138,2022-10-30,55,SEA,8474889,Martin Jones,L,60:00:00,0,0,0,33,32,1,1,30,1,31,1,W,96.96969696969695,100,100,96.77419355,home
2022020139,2022-10-30,1,NJD,8477970,Vitek Vanecek,L,60:00:00,0,0,0,21,20,2,0,18,0,19,2,W,95.23809523809524,100,,94.73684210526316,home
2022020140,2022-10-30,16,CHI,8471774,Alex Stalock,L,65:00:00,0,0,0,35,32,2,0,30,0,33,2,L,91.42857142857144,100,,90.90909091,home
2022020141,2022-10-31,53,ARI,8478971,Connor Ingram,L,59:09:00,0,0,0,39,36,6,0,30,0,32,7,L,92.30769231,85.71428571428571,,93.75,home
2022020142,2022-10-31,24,ANA,8476434,John Gibson,L,62:15:00,0,0,0,36,33,3,0,30,1,31,4,W,91.66666666666666,75,0,96.77419355,home
2022020143,2022-10-31,54,VGK,8478499,Adin Hill,L,64:34:00,0,0,0,24,23,3,0,20,0,21,3,W,95.83333333333334,100,,95.23809523809524,home
2022020144,2022-10-31,7,BUF,8477480,Eric Comrie,L,60:00:00,0,0,0,18,15,0,1,14,2,16,0,W,83.33333333333334,,50,87.5,home
2022020145,2022-10-31,12,CAR,8475883,Frederik Andersen,L,64:54:00,0,0,0,20,18,2,1,15,1,16,3,W,90,66.66666666666666,100,93.75,home
2022020146,2022-11-01,19,STL,8471306,Thomas Greiss,L,29:28:00,0,0,0,11,11,1,1,9,1,9,1,,100,100,100,100,home
2022020146,2022-11-01,19,STL,8476412,Jordan Binnington,L,29:59:00,0,0,0,19,14,1,0,13,0,17,2,L,73.68421052631578,50,,76.47058823529412,home
2022020147,2022-11-02,5,PIT,8477465,Tristan Jarry,L,63:32:00,0,0,0,40,34,4,2,28,2,33,5,L,85,80,100,84.84848484848484,home
2022020148,2022-11-01,14,TBL,8476883,Andrei Vasilevskiy,L,59:38:00,0,0,0,15,12,3,1,8,2,10,3,W,80,100,50,80,home
2022020149,2022-11-01,3,NYR,8478048,Igor Shesterkin,L,64:07:00,0,0,0,19,19,3,0,16,0,16,3,W,100,100,,100,home
2022020150,2022-11-01,15,WSH,8479292,Charlie Lindgren,R,61:35:00,0,0,0,31,28,1,1,26,1,28,2,L,90.32258064516128,50,100,92.85714285714286,home
2022020151,2022-11-02,30,MIN,8470594,Marc-Andre Fleury,L,60:00:00,0,0,0,35,34,3,1,30,1,30,4,W,97.14285714285714,75,100,100,home
2022020152,2022-11-02,16,CHI,8471774,Alex Stalock,L,2:56,0,0,0,2,2,0,0,2,0,2,0,,100,,,100,home
2022020152,2022-11-02,16,CHI,8482821,Arvid Soderblom,L,55:06:00,0,0,0,30,28,6,1,21,1,22,7,L,93.33333333333331,85.71428571428571,100,95.45454545454544,home
