player_id,games_played,goals,assists,points,gwg,ot_goals,shots,shooting_pctg,pim,plus_minus,pp_goals,pp_points,sh_goals,sh_points
8479941,4,0,0,0,0,0,2,0.0,2,-2,0,0,0,0
8479982,39,0,8,8,0,0,44,0.0,18,-8,0,0,0,0
8480064,44,13,21,34,3,0,69,0.188406,28,11,2,9,0,0
8480196,50,2,6,8,0,0,22,0.090909,10,-9,0,0,0,0
8480802,81,14,40,54,1,0,90,0.155556,16,25,0,7,5,6
8480807,78,13,28,41,3,1,109,0.119266,28,41,0,0,1,3
8480839,77,19,55,74,0,0,194,0.097938,76,18,6,22,0,0
8481522,82,12,27,39,4,0,93,0.129032,78,13,0,1,0,0
8481524,82,11,31,42,5,1,109,0.100917,48,15,1,7,0,1
8481564,3,0,0,0,0,0,0,0.0,2,0,0,0,0,0
8482097,82,20,31,51,4,0,191,0.104712,18,4,4,11,0,0
8482659,82,25,27,52,4,0,170,0.147059,25,-4,9,17,0,0
8483468,12,3,2,5,0,0,20,0.15,4,-4,0,0,0,0
8474141,67,16,41,57,4,0,169,0.094675,16,-1,2,19,0,0
8474612,26,0,2,2,0,0,21,0.0,29,-11,0,0,0,0
8475279,82,5,10,15,0,0,103,0.048544,75,-9,0,0,0,0
8477429,79,9,34,43,1,1,115,0.078261,24,3,1,8,0,0
8477456,82,11,17,28,1,0,95,0.115789,27,-13,0,1,0,0
8477946,74,34,33,67,9,4,229,0.148472,48,3,14,24,1,1
8478891,65,6,8,14,2,0,63,0.095238,44,-4,0,0,0,1
8479337,82,41,44,85,6,2,287,0.142857,19,8,15,23,0,0
8479992,64,6,8,14,0,0,65,0.092308,8,-10,0,0,1,1
8481542,82,10,50,60,2,1,187,0.053476,57,15,3,28,0,0
8481607,82,3,8,11,1,0,61,0.04918,16,-18,0,0,1,2
8481725,59,7,6,13,1,0,69,0.101449,23,-1,0,0,0,0
8482078,80,25,51,76,5,0,173,0.144509,22,1,7,27,0,0
8482762,72,9,16,25,2,1,88,0.102273,75,12,0,1,0,1
8483464,81,9,10,19,2,0,131,0.068702,33,-20,1,2,0,1
8484223,68,7,14,21,1,0,68,0.102941,18,-20,1,7,0,0
8484471,82,13,17,30,1,0,120,0.108333,6,-10,4,8,0,0
8484794,14,0,1,1,0,0,20,0.0,2,-5,0,0,0,0
8473512,82,14,35,49,3,0,138,0.101449,22,20,1,13,0,0
8474102,65,13,15,28,1,0,93,0.139785,40,-7,3,8,0,0
8474151,48,6,15,21,0,0,39,0.153846,6,14,0,0,0,0
8474189,68,5,10,15,2,0,67,0.074627,12,5,0,0,1,1
8475167,33,1,16,17,0,0,50,0.02,10,-1,0,6,0,0
8475324,61,4,13,17,0,0,36,0.111111,22,-2,0,0,0,0
8476393,81,9,14,23,1,0,79,0.113924,92,8,0,0,0,0
8476453,76,44,86,130,8,2,231,0.190476,50,43,8,37,1,1
8476826,82,9,19,28,2,0,114,0.078947,66,-6,0,0,0,0
8477073,19,0,1,1,0,0,4,0.0,33,-5,0,0,0,0
8477404,81,38,50,88,5,2,220,0.172727,61,13,8,30,2,2
8477416,80,12,20,32,1,0,130,0.092308,16,-14,9,14,0,0
8478010,63,18,32,50,0,0,129,0.139535,14,12,6,11,0,0
8478020,81,15,20,35,2,0,96,0.15625,18,13,0,0,0,1
8478178,73,22,48,70,6,1,212,0.103774,72,21,10,26,0,0
8478416,61,3,8,11,1,0,53,0.056604,74,3,0,0,0,1
8478469,57,7,24,31,0,0,99,0.070707,22,6,2,7,1,2
8478519,71,23,29,52,3,1,125,0.184,48,38,3,4,2,4
8479542,71,36,38,74,6,0,214,0.168224,58,34,5,12,1,1
8480188,82,17,16,33,3,0,132,0.128788,16,-1,5,8,0,0
8480801,60,22,37,59,3,1,221,0.099548,71,4,5,20,1,1
8480876,43,1,3,4,0,0,29,0.034483,108,-3,0,0,0,0
8480995,70,11,11,22,2,0,90,0.122222,31,1,0,0,0,0
8481528,82,28,31,59,3,0,205,0.136585,59,-7,13,29,0,0
8481596,72,23,23,46,2,0,157,0.146497,42,6,5,5,2,4
8481719,35,1,9,10,0,0,46,0.021739,40,7,0,0,0,1
8482070,11,0,1,1,0,0,9,0.0,4,-2,0,0,0,0
8482092,77,13,22,35,2,0,129,0.100775,83,12,1,3,1,1
8482105,67,14,40,54,3,0,147,0.095238,8,16,5,22,0,0
8482116,80,34,49,83,5,2,194,0.175258,39,7,9,29,2,2
8482131,42,0,8,8,0,0,33,0.0,68,-5,0,0,0,0
8482201,74,11,22,33,2,0,77,0.142857,41,26,0,2,0,0
8482245,81,5,25,30,0,0,92,0.054348,57,22,0,0,0,0
8482929,50,4,8,12,2,0,43,0.093023,61,15,0,0,0,0
8483447,14,1,2,3,0,0,10,0.1,8,-3,0,0,0,0
8484321,50,0,5,5,0,0,37,0.0,16,-1,0,0,0,1
8475235,31,0,2,2,0,0,18,0.0,38,-3,0,0,0,0
8476372,80,4,6,10,0,0,94,0.042553,38,1,0,0,0,0
8476461,78,12,24,36,2,0,119,0.10084,30,-5,0,1,0,0
8477903,66,1,2,3,0,0,34,0.029412,59,-6,0,0,0,0
8477948,81,11,26,37,1,1,95,0.115789,20,12,1,3,1,3
8477989,80,18,33,51,2,0,151,0.119205,27,11,3,5,0,1
8478439,77,27,41,68,2,0,168,0.160714,59,14,2,14,1,2
8478454,52,1,9,10,0,0,26,0.038462,15,3,0,0,0,0
8479022,42,3,7,10,0,0,43,0.069767,22,-1,0,0,1,2
8480015,81,28,23,51,2,0,220,0.127273,32,-6,3,7,3,3
8480220,82,18,29,47,4,2,132,0.136364,44,26,3,9,1,1
8480874,5,0,0,0,0,0,2,0.0,0,0,0,0,0,0
8481178,33,0,3,3,0,0,18,0.0,4,6,0,0,0,0
8481533,81,26,41,67,5,1,167,0.155689,62,0,10,23,0,0
8481553,68,15,15,30,3,0,104,0.144231,24,-7,3,7,0,0
8482142,78,8,24,32,3,0,101,0.079208,33,-3,1,9,0,0
8482159,29,13,4,17,2,0,61,0.213115,22,8,3,4,0,0
8484387,81,20,31,51,3,1,163,0.122699,71,0,4,12,0,0
8475151,25,6,12,18,1,0,71,0.084507,8,-2,1,5,1,1
8475231,81,10,8,18,0,0,80,0.125,20,-3,0,0,1,2
8475314,82,19,23,42,4,0,199,0.095477,44,0,5,8,0,0
8476419,74,17,18,35,4,2,81,0.209877,4,0,0,1,3,7
8476429,80,2,13,15,0,0,71,0.028169,83,-11,0,0,0,0
8476917,82,4,12,16,2,0,122,0.032787,50,4,0,0,1,2
8477407,62,12,15,27,2,0,74,0.162162,12,0,4,6,0,0
8477494,64,4,20,24,0,0,86,0.046512,19,-5,1,6,0,0
8477500,68,31,26,57,7,2,226,0.137168,40,8,7,16,1,1
8477506,76,3,24,27,0,0,93,0.032258,16,9,0,1,0,1
8477950,76,5,30,35,1,0,148,0.033784,43,-5,1,7,0,0
8478445,81,19,53,72,4,2,184,0.103261,61,10,2,20,0,0
8480842,13,1,3,4,1,0,22,0.045455,2,4,0,0,1,1
8481014,15,0,1,1,0,0,17,0.0,6,-7,0,0,0,0
8481601,79,19,22,41,5,2,100,0.19,16,4,1,4,2,4
8482476,82,22,9,31,1,0,174,0.126437,18,-13,4,4,0,0
8484958,49,2,2,4,0,0,42,0.047619,6,-17,0,0,0,0
8485366,82,23,36,59,4,2,222,0.103604,38,13,8,18,0,0
8485702,44,5,13,18,0,0,56,0.089286,2,-5,0,5,0,0
8473533,75,20,16,36,4,0,107,0.186916,29,5,4,4,0,1
8474149,24,1,0,1,0,0,21,0.047619,2,-6,0,0,0,0
8475455,82,3,12,15,2,0,55,0.054545,89,-13,0,0,0,1
8475791,80,18,30,48,1,0,137,0.131387,44,6,3,7,0,0
8476292,80,5,10,15,0,0,83,0.060241,14,-11,1,2,0,0
8476462,77,12,27,39,3,0,203,0.059113,50,-2,4,14,0,0
8476822,70,2,7,9,0,0,50,0.04,8,-7,0,0,0,1
8476906,55,13,37,50,1,0,116,0.112069,22,11,6,18,0,0
8476921,77,12,17,29,3,0,109,0.110092,35,6,0,0,3,3
8476958,39,1,7,8,1,1,63,0.015873,4,8,0,0,0,2
8477015,75,18,25,43,1,0,116,0.155172,22,-1,4,8,2,2
8477478,70,7,11,18,2,0,80,0.0875,18,5,0,0,0,0
8477488,37,1,6,7,0,0,45,0.022222,6,-11,0,0,0,0
8477940,82,26,45,71,6,1,207,0.125604,14,8,10,29,0,0
8478399,82,0,16,16,0,0,60,0.0,48,-9,0,0,0,2
8478414,77,24,20,44,5,0,269,0.089219,22,-16,6,10,0,0
