player_id,position
8478454,D
8479022,C
8480015,R
8480220,L
8480874,D
8481035,G
8481178,D
8481533,C
8481553,R
8482142,D
8482159,R
8484387,R
8475151,C
8475231,C
8475314,L
8476419,C
8476429,D
8476917,D
8477407,L
8477494,L
8477500,C
8477506,D
8477950,D
8478009,G
8478445,C
8479496,G
8480842,C
8481014,D
8481601,R
8482476,L
8484958,R
8485366,D
8485702,R
8473533,C
8474149,L
8474593,G
8474596,G
8475455,D
8475791,L
8475883,G
8476292,L
8476462,D
8476822,C
8476906,D
8476921,L
8476958,D
8477015,R
8477478,L
8477488,D
8477940,L
8478399,D
8478414,R
8478427,C
8478970,D
8479407,L
8479996,C
8480002,C
8480336,D
8480762,L
8480817,D
8480829,C
8480830,R
8481032,L
8481559,C
8481721,R
8482093,C
8482100,D
8482110,C
8482684,D
8482702,C
8482809,R
8483495,D
8483548,G
8474567,D
8474716,D
8475149,L
8475170,C
8475220,L
8475753,D
8475760,C
8475764,D
8475765,R
8476412,G
8476892,D
8476994,C
8477402,L
8477451,R
8477573,L
8478136,D
8478472,R
8478493,C
8478508,C
8478864,L
8479385,R
8479406,G
8480023,C
8480281,R
8480459,C
8480981,G
8481006,D
8481557,L
8481598,D
8482077,L
8482079,C
8482089,L
8482122,D
8482661,G
8482733,D
8483452,C
8483460,D
8483499,L
8483516,R
8484798,D
8474564,C
8474600,D
8475158,C
8475287,L
8475745,C
8475790,D
8476432,C
8476539,R
8476869,D
8476887,L
8476923,D
8477424,G
8477425,L
8477446,C
8477497,C
8478007,G
8478047,L
8478460,D
8478500,D
8479370,C
8479371,D
8479671,R
8479944,C
8480246,D
8480806,C
8480893,R
8481020,G
8481056,D
8481716,L
8482062,R
8482111,D
8482482,D
8482660,C
8482705,C
8482768,C
8482982,G
8483465,R
8483485,D
8484166,C
8485405,C
8473604,C
8474568,D
8474679,R
8475168,C
8475794,C
8475799,R
8476278,C
8476331,D
8476460,C
8476480,C
8476871,L
8476889,C
8476902,D
8476945,G
8477480,G
8477504,D
8477938,D
8478398,L
8478420,R
